V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
NW	   -Inf	  3.633	  2.008	  4.472	   -Inf	  7.975	  1.995	  1.914	  1.049	  0.989	  3.329	  3.055
NE	  8.142	  2.255	  1.981	 -0.360	  5.889	  0.560	  2.282	  3.121	  1.918	  1.896	  2.413	  2.197
SE	  3.477	  2.173	  2.751	 -0.698	  1.822	  2.196	  2.831	  2.599	 -0.408	  0.186	  1.376	  1.358
SW	   -Inf	  1.607	  2.702	  2.897	   -Inf	  0.962	  2.733	  2.131	 -0.195	 -0.151	  1.416	  1.453
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 67.88	 67.75	 72.38	 67.88	 59.88	 59.88	 57.75	 59.88	 34.25	 34.25	 37.50	 37.50
lon	-17.50	 -8.88	 27.25	 45.00	-27.00	 -8.88	 27.25	 44.00	 -9.00	 -8.75	 27.25	 27.50
N	  7.09	  3.35	  0.87	  3.20	  6.59	  3.35	  1.66	  3.05	  3.38	  3.31	  2.08	  2.07
S	  3.97	  2.47	  2.13	  2.86	  1.99	  2.03	  2.13	  2.83	  0.41	  0.47	  0.86	  0.86
W	  4.80	  4.37	  3.02	  5.41	 -0.95	  0.88	  2.47	  2.61	  0.71	  0.71	  1.91	  1.91
E	 -0.52	 -0.67	  0.99	 -0.52	  1.18	  1.18	  1.11	  1.18	  1.13	  1.13	  0.60	  0.60
NW	  9.25	  4.72	  1.45	  3.70	  -Inf	  9.17	  2.24	  1.70	  0.92	  0.92	  3.56	  3.50
NE	  5.76	  3.46	  0.10	  0.33	  5.95	  2.01	  0.96	 -2.36	  1.55	  1.57	  1.38	  1.32
SE	  3.79	  2.60	  2.53	 -1.88	  1.57	  3.15	  2.73	  2.58	  0.49	  0.51	  1.25	  1.26
SW	  3.20	  2.69	  2.09	  3.42	  -Inf	  1.90	  2.15	  2.59	  0.30	  0.36	  1.26	  1.33
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 67.88	 67.88	 72.25	 66.75	 59.88	 59.88	 54.38	 59.88	 35.25	 35.25	 37.50	 38.62
lon	-10.00	 -8.88	 27.25	 45.00	-27.00	 -8.88	 27.25	 45.00	 -9.00	 -8.75	 27.25	 31.25
N	  3.93	  3.78	  0.83	  1.74	  4.53	  3.78	  1.97	  1.74	  3.81	  3.73	  1.97	  1.91
S	  3.62	  3.57	  1.95	  2.37	  1.82	  2.08	  1.15	  2.37	  0.31	  0.35	  0.76	  1.45
W	  4.34	  4.34	  3.84	  2.82	 -0.25	  0.65	  2.27	  2.22	  0.92	  0.92	  1.66	  1.81
E	 -0.46	 -0.46	  0.76	 -1.00	  0.85	  0.85	  2.72	  0.85	  0.89	  0.89	  0.53	  0.47
NW	  5.07	  5.02	  1.28	  1.69	  -Inf	  6.47	  2.48	  1.54	  1.24	  1.24	  4.12	  2.46
NE	  3.53	  3.69	  0.31	 -0.43	  2.81	  2.73	  0.98	 -2.07	  1.40	  1.42	  0.80	  1.44
SE	  3.54	  3.48	  2.06	 -1.01	  1.75	  2.99	  1.81	  1.45	  0.46	  0.59	  1.48	  2.20
SW	  3.32	  3.25	  2.42	  2.24	  -Inf	  2.09	  1.94	  2.12	  0.29	  0.31	  1.47	  1.27
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	68.88	69.00	67.88	69.00	59.88	59.88	51.00	58.88	35.25	35.25	36.50	37.50	37.38
lon	-9.00	-2.62	 9.25	45.00	-9.00	-7.50	27.25	45.00	-9.00	-7.50	27.25	33.75	33.75
N	 3.68	 3.36	 2.10	 1.53	 3.68	 3.30	 1.66	 1.53	 3.68	 3.30	 1.66	 1.54	 1.54
S	 2.63	 3.14	 3.34	 2.02	 2.25	 2.05	 0.93	 2.02	 0.61	 1.07	 0.93	 1.73	 1.73
W	 4.40	 4.52	 3.29	 4.52	 1.85	 1.85	 2.01	 2.02	 0.87	 0.87	 1.57	 1.69	 1.65
E	 1.32	 1.39	 0.37	 1.39	 0.48	 0.48	 1.18	 0.45	 1.09	 1.09	 0.99	 0.77	 0.80
NW	 4.61	 3.91	 1.82	 1.47	 4.21	 4.17	 1.94	 1.12	 1.51	 1.49	 4.46	 2.69	 2.70
NE	 2.60	 3.20	 2.14	-0.17	 3.05	 2.82	 0.49	-0.50	 1.68	 1.68	 1.34	 1.68	 1.74
SE	 2.82	 3.56	 3.41	-0.45	 2.88	 2.76	 1.99	-0.61	 1.42	 2.49	 0.39	 2.33	 2.33
SW	 2.89	 2.93	 2.73	 2.13	 1.82	 1.97	 1.84	 1.66	 0.51	 0.63	 1.86	 1.32	 1.32
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	67.875	69.000	68.875	69.000	59.875	59.875	46.375	57.750	35.250	35.250	36.375	37.625
lon	-9.000	 5.250	13.250	45.000	-9.000	-4.000	27.250	45.000	-9.000	-7.500	27.250	35.000
N	 3.069	 2.814	 2.942	 1.135	 3.069	 2.617	 1.610	 1.135	 3.069	 2.895	 1.610	 1.992
S	 1.575	 3.127	 3.231	 1.818	 1.575	 2.212	 1.042	 1.818	 0.695	 1.228	 1.042	 2.525
W	 2.798	 3.620	 3.535	 3.620	 1.754	 1.961	 2.014	 1.693	 0.879	 0.879	 1.424	 2.530
E	 0.369	 1.099	 1.028	 1.099	 0.415	 0.415	 0.621	 0.803	 0.865	 0.865	 0.690	 0.556
NW	 3.725	 2.996	 2.537	 1.047	 3.440	 3.477	 3.128	 1.548	 1.300	 1.318	 3.974	 3.140
NE	 1.807	 2.567	 3.300	-0.087	 2.788	 2.589	 0.429	-0.112	 1.375	 1.383	 1.601	 2.463
SE	 2.664	 3.276	 3.654	-0.643	 2.169	 2.717	 2.196	-1.165	 1.358	 1.607	 0.568	 2.286
SW	 1.930	 2.438	 2.620	 2.323	 2.120	 2.461	 1.571	 1.766	 0.509	 0.731	 1.811	 1.885
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 64.500	 67.875	 67.875	 66.750	 55.500	 59.875	 59.875	 46.375	 34.250	 42.125	 36.375	 39.875
lon	-24.750	  7.500	  9.250	 27.375	-27.000	  2.000	  9.250	 42.000	 -9.000	  8.500	 27.250	 36.250
N	  3.660	  3.034	  3.185	  2.119	  3.428	  2.826	  3.185	  1.436	  2.397	  3.139	  2.131	  2.432
S	  3.903	  3.417	  3.231	  3.787	  4.297	  2.571	  2.490	  2.872	  0.591	  0.602	  1.008	  1.911
W	  0.753	  2.768	  2.768	  2.288	 -2.944	  1.638	  1.638	  1.595	  0.841	  1.562	  1.295	  2.913
E	  0.807	  0.554	  0.554	  0.059	  3.517	  0.508	  0.508	  1.024	  0.266	  0.937	  0.331	  0.257
NW	  3.469	  3.060	  2.965	  2.851	   -Inf	  3.182	  3.049	  2.957	  1.524	  2.980	  3.308	  3.068
NE	  3.630	  3.156	  3.046	  1.886	  3.228	  3.011	  2.173	  1.144	  2.261	  1.969	  1.715	  2.405
SE	  1.903	  3.375	  3.347	  4.071	  4.432	  2.860	  2.670	 -0.216	  0.568	  0.474	  0.577	  2.878
SW	  1.003	  2.545	  2.424	  3.517	   -Inf	  2.316	  1.634	  1.770	  0.517	  0.875	  1.216	  1.861
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 64.500	 67.875	 67.875	 65.625	 56.625	 59.875	 59.875	 59.875	 34.250	 42.000	 36.375	 40.875
lon	-24.750	  9.125	 10.000	 31.125	-27.000	  9.125	 10.000	 27.375	 -9.000	  8.500	 27.250	 36.250
N	  3.984	  3.637	  3.613	  2.467	  3.822	  3.637	  3.613	  2.722	  2.085	  3.706	  2.745	  2.698
S	  4.169	  3.220	  3.254	  4.517	  4.007	  3.220	  3.254	  3.880	  0.533	  0.394	  0.718	  1.923
W	  1.049	  2.983	  2.983	  1.936	 -0.063	  1.338	  1.338	  1.338	  0.855	  1.481	  1.179	  2.711
E	  1.103	  0.277	  0.277	  1.319	  3.705	  0.692	  0.692	  0.692	  0.406	  0.701	  0.302	  0.490
NW	  3.608	  3.690	  3.547	  3.119	   -Inf	  3.137	  3.345	  3.007	  1.500	  3.034	  2.986	  3.591
NE	  3.807	  3.578	  3.588	  1.974	  3.024	  2.628	  2.651	  1.864	  2.428	  1.908	  1.762	  2.936
SE	  4.192	  3.575	  3.599	  4.504	  4.209	  3.629	  3.762	  3.860	  0.446	  0.288	  0.630	  2.532
SW	  0.961	  2.208	  2.264	  3.404	   -Inf	  2.472	  2.578	  3.096	  0.535	  0.893	  1.110	  1.882
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
lat	 60.00	 66.75	 66.62	 65.50	 56.62	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 59.88	 34.25	 42.00	 36.38	 42.12
lon	-16.00	  9.12	 17.50	 36.00	-14.50	  9.12	 15.00	 15.12	 15.25	 15.38	 15.50	 15.62	 15.75	 15.88	 16.00	 27.38	 -9.00	  9.12	 27.25	 39.38
N	  2.54	  4.08	  3.05	  2.00	  2.59	  4.08	  3.42	  3.39	  3.37	  3.36	  3.34	  3.31	  3.29	  3.27	  3.25	  2.42	  2.19	  4.08	  2.42	  3.20
S	  4.05	  2.68	  3.23	  4.67	  4.22	  2.41	  3.27	  3.27	  3.27	  3.25	  3.25	  3.24	  3.24	  3.23	  3.23	  3.95	  0.61	  0.45	  0.30	  3.14
W	  0.67	  2.73	  2.69	  2.07	  0.51	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  1.89	  0.95	  1.96	  1.08	  2.67
E	  0.76	  0.41	  0.50	  1.31	  4.04	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.81	  0.52	  0.79	  0.14	  0.75
NW	  3.86	  4.24	  3.53	  2.32	  3.76	  3.69	  4.31	  4.30	  4.29	  4.29	  4.27	  4.26	  4.24	  4.24	  4.24	  3.12	  1.54	  2.66	  2.91	  3.99
NE	  1.97	  3.49	  3.48	  1.71	  3.17	  3.76	  3.72	  3.72	  3.71	  3.71	  3.71	  3.70	  3.42	  3.38	  3.35	  1.91	  3.21	  1.92	  1.57	  3.38
SE	  5.07	  3.27	  4.10	  4.35	  4.92	  2.77	  3.23	  3.23	  3.24	  3.23	  3.24	  3.25	  3.25	  3.26	  3.27	  4.11	  0.88	  0.12	  0.34	  3.36
SW	  3.09	  3.27	  2.44	  3.51	  3.38	  2.45	  2.74	  2.74	  2.75	  2.76	  2.77	  2.78	  2.79	  2.79	  2.80	  2.96	  0.62	  0.70	  1.03	  1.71
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 65.62	 64.50	 64.50	 56.62	 56.62	 59.88	 59.88	 34.25	 35.25	 34.25	 43.12
lon	-10.00	  9.12	 22.50	 27.38	-27.00	 -8.88	 20.00	 27.38	 -9.00	 -7.50	 27.25	 39.38
N	  2.04	  3.01	  4.34	  3.83	  4.31	  2.40	  3.79	  3.83	  2.39	  2.51	  3.88	  2.81
S	  3.72	  2.85	  3.64	  3.98	  3.86	  3.81	  3.38	  3.98	  0.76	  1.18	  0.47	  3.23
W	  1.02	  2.67	  2.02	  2.02	 -1.58	  1.73	  1.45	  1.45	  1.04	  1.23	  1.04	  2.33
E	  0.79	  1.60	  1.40	  1.40	  1.60	  1.60	  0.88	  0.88	  0.67	  0.79	  0.67	  0.87
NW	  3.20	  3.30	  3.82	  3.63	  -Inf	  3.78	  3.55	  3.88	  1.74	  1.71	  2.65	  3.64
NE	  1.70	  3.38	  4.32	  3.84	  3.29	  3.24	  4.20	  2.41	  4.11	  4.16	  2.42	  2.76
SE	  4.55	  3.18	  4.30	  4.46	  4.22	  4.64	  3.94	  4.30	  1.20	  1.23	  0.13	  3.38
SW	  3.29	  2.85	  3.00	  2.75	  -Inf	  3.50	  3.16	  2.83	  0.67	  0.85	  0.82	  2.17
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 65.62	 64.50	 64.50	 57.75	 56.62	 59.88	 59.88	 34.25	 43.25	 36.38	 43.12
lon	-27.00	  9.12	 27.00	 27.38	-27.00	 -1.75	 26.00	 27.38	 -9.00	  7.12	 27.25	 39.38
N	  4.53	  3.32	  4.45	  4.31	  4.86	  1.74	  4.53	  4.31	  2.05	  3.00	  4.37	  2.96
S	  4.62	  2.61	  3.86	  3.87	  4.62	  4.31	  3.78	  3.87	  0.32	  1.09	  0.35	  2.21
W	 -1.55	  2.24	  1.80	  1.80	 -1.58	  1.43	  0.99	  0.99	  0.97	  2.21	  1.12	  2.32
E	  1.64	  1.77	  2.39	  2.39	  2.11	  1.64	  1.73	  1.73	  0.38	  0.80	  0.35	  0.76
NW	  -Inf	  2.78	  4.40	  4.53	  -Inf	  2.08	  3.91	  3.96	  1.56	  3.10	  2.39	  3.83
NE	  3.62	  3.34	  4.41	  4.46	  5.08	  3.20	  3.94	  3.86	  3.26	  4.44	  1.44	  2.01
SE	  4.22	  2.51	  4.41	  4.40	  4.65	  4.21	  3.97	  4.22	  0.36	  0.75	  0.21	  2.18
SW	  -Inf	  3.30	  3.15	  3.14	  -Inf	  3.32	  3.35	  3.18	  0.41	  1.41	  0.88	  1.16
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
lat	 60.000	 64.500	 64.500	 64.500	 58.875	 56.625	 58.875	 59.875	 59.875	 59.875	 59.875	 33.000	 43.250	 36.375	 36.250	 43.250
lon	-24.000	  9.125	 27.250	 31.500	-24.375	  5.375	  9.250	 27.875	 28.000	 28.125	 28.250	-10.000	  8.375	 27.250	 27.250	 38.000
N	  5.049	  3.081	  4.169	  4.389	  5.478	  2.826	  3.069	  4.227	  4.216	  4.227	  4.227	  1.911	  3.046	  4.169	  4.169	  4.297
S	  5.501	  3.532	  3.382	  4.169	  5.571	  4.285	  3.521	  3.474	  3.498	  3.509	  3.544	 -0.243	  1.494	  0.278	  0.278	  1.575
W	  1.552	  1.264	  2.798	  2.798	  1.300	  1.389	  1.300	  1.523	  1.523	  1.523	  1.523	  0.842	  2.814	  1.179	  1.178	  2.814
E	  2.664	  2.340	  2.340	  2.340	  3.137	  1.895	  3.137	  2.723	  2.723	  2.723	  2.723	  0.345	  0.509	  0.590	  0.603	  0.509
NW	  4.802	  2.983	  4.418	  4.173	  5.353	  2.651	  2.128	  3.448	  3.502	  3.555	  3.598	  1.410	  2.892	  2.283	  2.306	  3.411
NE	  4.957	  2.790	  4.017	  4.423	  5.253	  2.437	  2.294	  4.522	  4.530	  4.519	  4.509	  2.772	  4.166	  1.553	  1.544	  2.142
SE	  4.862	  2.629	  4.032	  4.417	  4.852	  3.991	  2.885	  3.376	  3.396	  3.417	  3.448	 -0.311	  1.085	  0.142	  0.133	  2.437
SW	  4.892	  3.189	  3.294	  3.469	  4.933	  3.578	  3.821	  3.106	  3.117	  3.138	  3.148	 -0.062	  1.747	  0.692	  0.692	  1.034
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 60.00	 64.50	 65.50	 58.88	 57.75	 57.75	 59.88	 46.25	 46.25	 35.25	 44.25
lon	-20.00	 -8.88	 27.25	 36.00	-20.62	 -8.88	  9.38	 27.38	 -9.00	  3.00	 27.25	 38.00
N	  6.89	  2.85	  3.20	  4.89	  6.90	  3.45	  2.66	  3.22	  3.51	  2.25	  3.20	  4.84
S	  5.37	  4.07	  2.83	  3.96	  5.52	  4.07	  3.76	  2.83	  2.07	  3.85	  0.16	  1.22
W	  5.65	  5.65	  2.18	  2.60	  6.92	  6.68	  6.68	  5.79	  0.95	  0.95	  0.92	  1.60
E	  2.46	  2.46	  1.45	  1.20	  2.67	  1.06	  1.06	  2.35	 -0.13	 -0.13	  0.75	  0.34
NW	  6.61	  3.61	  3.41	  4.81	  7.29	  4.19	  2.31	  2.78	  7.08	  4.06	  2.77	  2.93
NE	  6.38	  3.55	  2.91	  4.72	  6.32	  4.00	  2.17	  4.11	  2.30	  2.04	  1.64	  1.80
SE	  4.37	  3.34	  3.54	  4.14	  4.43	  3.53	  3.26	  3.32	  2.04	  3.45	  0.20	  1.57
SW	  6.89	  4.14	  3.58	  3.57	  6.88	  3.92	  3.46	  2.09	  1.92	  3.30	  0.63	  1.26
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24
lat	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 60.000	 65.500	 57.750	 57.750	 57.750	 59.875	 46.250	 43.250	 46.250	 45.375
lon	-10.000	 -8.875	 14.500	 14.625	 14.750	 14.875	 15.000	 15.125	 15.250	 15.375	 15.500	 15.625	 15.750	 15.875	 16.000	 38.375	-13.125	 -8.875	 11.250	 27.375	 -9.000	  9.125	 16.500	 39.375
N	  5.084	  4.818	  2.768	  2.722	  2.675	  2.698	  2.698	  2.710	  2.710	  2.722	  2.733	  2.733	  2.745	  2.745	  2.745	  4.308	  5.768	  5.490	  3.023	  2.432	  5.513	  3.069	  2.780	  4.181
S	  4.737	  4.308	  3.347	  3.324	  3.301	  3.278	  3.243	  3.266	  3.278	  3.301	  3.312	  3.335	  3.347	  3.370	  3.393	  3.822	  5.547	  4.308	  4.065	  2.421	  3.011	  2.004	  2.374	  1.135
W	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  3.173	  2.346	  5.969	  5.969	  5.969	  3.323	  1.340	  2.369	  1.658	  3.017
E	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	 -0.811	  0.168	  0.130	  0.130	  0.130	 -0.808	 -0.100	  0.509	 -0.100	  0.049
NW	  4.896	  4.691	  2.811	  2.813	  2.840	  2.883	  2.917	  2.909	  2.867	  2.836	  2.794	  2.752	  2.739	  2.728	  2.728	  4.149	  5.883	  5.208	  2.946	  2.772	  5.774	  4.453	  2.672	  2.614
NE	  4.553	  4.363	  2.466	  2.435	  2.394	  2.352	  2.301	  2.259	  2.228	  2.187	  2.145	  2.104	  2.062	  2.021	  1.979	  4.265	  4.873	  5.230	  2.451	  3.746	  2.473	  3.107	  4.130	  1.910
SE	  3.752	  3.655	  2.949	  2.920	  2.881	  2.869	  2.910	  2.871	  2.881	  2.901	  2.891	  2.891	  2.871	  2.871	  2.861	  3.943	  4.111	  3.616	  4.198	  3.161	  2.585	  1.543	  2.367	  1.409
SW	  6.299	  6.191	  4.074	  4.054	  4.054	  4.042	  4.029	  3.997	  3.955	  3.932	  3.941	  3.951	  3.970	  3.980	  3.990	  2.972	  6.789	  5.407	  4.142	  2.741	  2.630	  2.174	  2.030	  1.062
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.00	60.00	60.00	61.00	56.62	55.62	55.50	59.88	46.25	46.25	46.25	46.25
lon	-9.00	 4.00	20.00	27.38	-9.00	 7.25	 9.25	27.38	-9.00	 9.00	16.88	27.38
N	 2.74	 2.41	 3.02	 2.14	 4.13	 3.18	 3.47	 2.14	 4.13	 3.51	 3.23	 2.14
S	 5.25	 4.33	 4.74	 2.06	 5.25	 4.55	 4.41	 2.06	 2.88	 1.99	 2.99	 1.58
W	 2.46	 2.46	 2.46	 2.13	 4.23	 4.51	 4.54	 2.52	 1.51	 1.51	 1.89	 1.89
E	-0.51	-0.51	-0.51	 0.24	-1.43	-0.76	-0.70	-0.62	-0.32	-0.32	-0.32	-0.32
NW	 3.48	 2.78	 3.26	 3.02	 4.46	 2.65	 2.81	 2.96	 2.98	 3.48	 2.68	 3.25
NE	 1.75	 2.57	 2.89	 2.31	 3.41	 2.94	 2.75	 2.73	 2.57	 2.63	 3.44	 0.30
SE	 3.27	 4.12	 3.15	 3.28	 4.02	 3.97	 4.11	 3.27	 2.59	 1.54	 2.86	 1.66
SW	 6.41	 4.13	 4.18	 4.10	 6.20	 4.59	 4.58	 4.17	 2.32	 2.48	 2.40	 1.66
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	60.000	60.000	60.000	61.125	54.375	55.500	55.625	59.875	46.250	44.250	46.250	46.250
lon	-9.000	 4.000	22.000	27.375	-9.000	 9.125	14.375	27.375	-9.000	 8.500	18.000	27.375
N	 1.818	 2.282	 3.555	 3.463	 2.073	 4.053	 3.833	 3.463	 2.073	 3.776	 3.312	 3.463
S	 4.690	 4.436	 4.482	 2.478	 4.690	 4.795	 4.551	 2.478	 2.305	 2.467	 3.046	 2.305
W	 2.872	 2.872	 2.872	 3.094	 3.320	 3.047	 3.015	 2.838	 1.424	 2.926	 1.960	 1.960
E	 0.208	 0.208	 0.208	 1.175	-0.775	-1.574	-1.620	 0.092	-0.502	-0.243	-0.502	-0.502
NW	 2.399	 2.557	 4.017	 3.355	 3.191	 3.657	 4.659	 3.368	 1.353	 2.937	 3.556	 4.142
NE	 1.903	 2.762	 3.611	 3.497	 2.506	 3.181	 3.084	 3.140	 2.729	 3.813	 3.089	 0.290
SE	 3.811	 3.999	 3.606	 3.402	 3.429	 4.021	 4.317	 3.516	 1.695	 1.627	 3.614	 2.397
SW	 4.696	 4.707	 4.240	 4.931	 5.010	 4.532	 4.348	 5.052	 2.573	 3.436	 3.219	 2.241
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 64.50	 60.00	 60.00	 60.00	 52.12	 55.50	 56.62	 57.75	 46.25	 44.38	 46.25	 46.25
lon	-27.00	  9.12	 22.00	 27.38	 -9.00	  9.12	 19.75	 27.38	 -9.00	  8.50	 27.00	 27.38
N	  4.99	  2.73	  3.98	  3.95	  1.99	  2.73	  3.78	  3.95	  1.99	  2.69	  4.02	  3.95
S	  3.57	  4.09	  4.46	  2.93	  2.73	  4.09	  4.27	  2.93	  2.17	  3.00	  3.07	  2.93
W	 -1.45	  3.29	  3.64	  3.64	  2.47	  3.66	  3.58	  3.47	  1.59	  2.32	  1.59	  1.59
E	  4.71	  1.23	  1.23	  1.23	  1.34	  0.55	  0.17	  0.50	 -0.42	 -0.47	 -0.42	 -0.42
NW	  -Inf	  2.21	  4.52	  4.23	  4.24	  2.71	  4.57	  4.12	  0.58	  2.14	  5.07	  4.96
NE	  5.11	  2.23	  3.84	  3.41	  2.49	  2.88	  3.99	  3.22	  2.45	  4.02	  0.29	  0.34
SE	  3.11	  3.87	  3.76	  3.53	  2.14	  3.39	  3.51	  3.65	  1.63	  1.79	  2.73	  2.74
SW	  -Inf	  3.85	  4.30	  3.96	  3.33	  4.53	  3.84	  3.46	  2.39	  3.78	  2.97	  2.81
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 64.500	 60.000	 60.000	 60.000	 56.625	 55.625	 56.625	 57.750	 46.250	 44.375	 46.250	 46.250
lon	-24.750	  9.125	 24.000	 27.375	-27.000	  9.125	 23.375	 27.375	 -9.000	  9.125	 27.000	 27.375
N	  5.721	  2.583	  5.142	  4.644	  5.721	  2.583	  5.049	  4.644	  1.899	  2.583	  4.667	  4.644
S	  2.478	  3.370	  3.729	  2.930	  3.347	  3.370	  3.949	  2.930	  1.992	  2.826	  3.092	  2.930
W	  0.861	  3.081	  4.679	  4.679	 -4.568	  2.420	  4.505	  4.775	  1.424	  3.646	  2.797	  2.797
E	  5.138	  1.668	  1.668	  1.668	  4.568	  4.738	  4.568	  4.688	  0.084	 -0.097	  0.084	  0.084
NW	  5.187	  2.172	  5.711	  5.588	   -Inf	  2.460	  4.905	  5.343	  0.439	  3.091	  3.045	  3.106
NE	  5.413	  2.073	  4.558	  3.969	  2.876	  3.487	  4.203	  3.713	  2.250	  4.483	  0.726	  0.706
SE	  2.614	  3.869	  3.259	  3.101	  3.405	  3.228	  3.271	  3.308	  1.972	  1.945	  3.708	  3.748
SW	  2.474	  2.861	  4.077	  3.922	   -Inf	  2.768	  4.043	  3.670	  2.411	  3.787	  3.145	  2.871
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.00	 60.00	 60.00	 60.00	 57.75	 57.75	 57.88	 57.88	 57.75	 46.25	 45.38	 46.25	 46.25
lon	-27.00	  9.12	 26.00	 27.38	-27.00	  9.12	 26.25	 27.38	 27.38	 -9.00	  9.12	 27.25	 28.50
N	  6.10	  2.08	  4.95	  4.82	  6.10	  2.08	  4.96	  4.82	  4.82	  1.86	  2.08	  4.81	  4.96
S	  4.37	  1.91	  3.14	  3.15	  4.37	  1.91	  3.16	  3.15	  3.15	  1.23	  1.91	  3.03	  3.07
W	 -3.31	  2.90	  4.89	  4.89	 -4.32	  3.52	  3.96	  3.96	  3.93	  0.99	  3.91	  2.85	  2.85
E	  3.36	  3.36	  3.36	  3.36	  6.03	  6.03	  5.95	  5.95	  6.03	  0.85	  0.71	  0.85	  0.85
NW	  -Inf	  2.14	  5.53	  5.71	  -Inf	  2.22	  5.81	  5.40	  5.41	  0.74	  2.94	  2.62	  2.64
NE	  5.42	  1.95	  4.68	  4.79	  6.71	  2.75	  4.61	  4.52	  4.56	  1.84	  4.69	  1.21	  1.13
SE	  4.70	  3.05	  3.11	  3.09	  5.28	  3.09	  3.16	  3.08	  3.09	  1.29	  1.69	  2.63	  2.68
SW	  -Inf	  2.37	  3.38	  3.57	  -Inf	  2.82	  3.67	  3.68	  3.65	  1.67	  3.21	  3.34	  2.75
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
lat	 60.00	 65.62	 60.00	 60.00	 58.88	 57.75	 59.88	 59.88	 46.25	 45.38	 46.25	 46.25
lon	-27.00	  9.12	 27.25	 28.00	-27.00	  9.12	 27.25	 28.00	-25.38	  9.12	 27.25	 31.50
N	  6.43	  1.64	  4.95	  4.91	  6.43	  1.64	  4.95	  4.91	  6.31	  1.67	  4.95	  4.97
S	  4.93	  2.30	  3.10	  3.00	  4.93	  2.30	  3.10	  3.00	  3.01	  2.30	  2.25	  3.20
W	 -0.97	  2.78	  5.19	  5.19	 -1.21	  2.43	  5.05	  5.05	  0.33	  2.89	  1.94	  1.94
E	  3.89	  3.00	  3.89	  3.89	  4.48	  5.38	  3.95	  3.95	  0.69	  0.48	  0.69	  0.69
NW	  -Inf	  2.13	  5.35	  5.18	  -Inf	  2.37	  5.38	  5.21	 -1.23	  2.69	  2.11	  3.23
NE	  6.13	  1.44	  4.56	  4.61	  6.24	  2.52	  4.57	  4.63	  3.19	  4.47	  1.49	  1.15
SE	  4.90	  3.71	  2.90	  3.03	  4.23	  2.56	  2.91	  2.99	  2.69	  1.80	  3.34	  4.51
SW	  -Inf	  2.05	  4.68	  4.60	  -Inf	  1.92	  4.67	  4.58	  2.60	  3.03	  2.63	  2.21
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 60.00	 64.50	 60.00	 60.00	 57.75	 54.38	 54.38	 59.88	 59.88	 46.25	 45.38	 44.38	 46.25
lon	-24.00	  9.12	 27.25	 30.00	-27.00	  6.75	  6.88	 27.25	 30.00	-19.50	  9.12	 12.62	 36.50
N	  6.14	  1.54	  4.27	  4.48	  5.72	  1.54	  1.54	  4.27	  4.48	  5.34	  1.54	  1.47	  4.68
