V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12
W	  2.25	  1.94	  2.53	  2.53	  2.22	  2.22	  2.22	  2.22	 -0.40	  0.93	  1.53	  1.39
E	 -0.14	  0.14	 -2.53	 -2.53	 -0.18	 -0.18	 -0.18	 -0.18	  1.22	  1.16	  0.88	  1.28
NW	  2.88	  2.65	  -Inf	  -Inf	  2.91	  2.58	  0.86	 -0.16	  -Inf	  2.25	  2.01	  2.21
NE	  2.05	  1.99	  -Inf	  -Inf	  2.02	  1.44	 -0.19	  1.20	  2.09	  2.56	  1.87	  0.12
SE	  3.19	  2.77	  2.67	  2.10	  3.23	  2.73	  2.10	  2.69	  1.92	  0.39	  0.21	 -0.74
SW	  3.19	  3.16	  1.82	  2.17	  3.19	  3.00	  1.61	  1.86	  -Inf	  0.58	  0.79	 -0.12
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
lat	 60.000	 60.000	 73.500	 73.500	 73.500	 73.500	 59.875	 59.875	 59.875	 59.875	 46.250	 46.250	 36.375	 33.000
lon	-10.000	 -8.875	 20.000	 20.125	 20.250	 40.000	-10.000	 -8.875	  9.250	 34.000	-27.000	 -8.875	 27.250	 45.000
N	  2.409	  2.027	 -1.170	 -1.170	 -1.158	 -1.332	  2.409	  2.027	  0.116	 -0.151	  2.698	  2.027	  1.112	  2.698
S	  3.359	  3.278	  2.189	  2.212	  2.212	  2.224	  3.359	  3.278	  1.934	  2.119	  2.455	  1.506	  0.440	 -0.185
W	  2.733	  2.733	  2.773	  2.773	  2.773	  2.773	  2.677	  2.677	  2.677	  2.677	 -0.452	  0.033	  1.208	  1.312
E	 -0.069	 -0.069	 -2.773	 -2.773	 -2.773	 -2.773	 -0.092	 -0.092	 -0.092	 -0.092	  1.072	  1.072	  0.590	  1.008
NW	  2.853	  2.731	   -Inf	   -Inf	   -Inf	   -Inf	  2.861	  2.720	  1.529	 -0.041	   -Inf	  0.444	  1.681	  1.774
NE	  1.964	  1.607	   -Inf	   -Inf	   -Inf	   -Inf	  1.891	  1.596	  0.083	  0.388	  2.336	  0.161	  1.902	 -0.648
SE	  3.223	  3.197	  2.300	  2.322	  2.334	  2.158	  3.200	  3.207	  2.394	  2.356	  2.293	  1.376	  0.143	 -0.888
SW	  3.165	  3.241	  1.840	  1.862	  1.884	  2.204	  3.165	  3.218	  1.371	  2.016	   -Inf	  1.203	  0.772	  0.648
x
1 day
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
lat	 61.12	 61.12	 73.50	 73.50	 59.88	 59.88	 59.88	 59.88	 46.25	 45.38	 45.38	 37.50	 33.00
lon	 -9.00	 -8.00	 23.25	 27.38	 -9.00	 -8.00	  9.25	 40.00	-27.00	  9.00	  9.12	 27.25	 45.00
N	  1.83	  1.70	 -1.58	 -1.42	  1.83	  1.70	  0.51	  0.36	  3.15	  0.91	  0.93	  1.18	  2.07
